"5122","","потому что","потому что","CONJ","","","их сам , _потому что_ , хе-хе -","о","т","ч","","у","м","CONJ","потому что","CONJ","о"
"5123","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5124","","хе-хе","ХЕ-ХЕ","INTJ","","",", потому что , _хе-хе_ - хе ,","е","х","-","е","х","","INTJ","ХЕ-ХЕ","INTJ","Е"
"5125","","-","-","PUNCT","","","","","","","","","","PUNCT","","",""
"5126","","хе","ХЕ","NONLEX","","",", хе-хе - _хе_ , эм ,","е","х","","","","","NONLEX","ХЕ","NONLEX","Е"
"5127","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5128","","эм","ЭМ","INTJ","","","- хе , _эм_ , сначала моя","м","э","","","","","INTJ","ЭМ","INTJ","М"
"5129","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5130","","сначала","СНАЧАЛА","ADV -","","",", эм , _сначала_ моя команда состояла","а","л","а","ч","а","н","ADV","СНАЧАЛА","ADV -","А"
"5131","","моя","МОЙ","APRO - nom sg plen f -","","","эм , сначала _моя_ команда состояла из","я","о","м","","","","APRO","МОЙ","A - nom sg plen f -","Й"
"5132","","команда","КОМАНДА","S f inan nom sg","","",", сначала моя _команда_ состояла из полтора","а","д","н","а","м","о","S","КОМАНДА","S f inan nom sg","А"
"5133","","состояла","СОСТОЯТЬ","V ipf praet sg indic f -","","","сначала моя команда _состояла_ из полтора одноклассника","а","л","я","о","т","с","V","СОСТОЯТЬ","V ipf praet sg indic f -","Ь"
"5134","","из","ИЗ","PR","","","моя команда состояла _из_ полтора одноклассника ,","з","и","","","","","PR","ИЗ","PR","З"
"5135","","полтора","ПОЛТОРА","NUM nom m -","","","команда состояла из _полтора_ одноклассника , один","а","р","о","т","л","о","NUM","ПОЛТОРА","NUM nom m -","А"
"5136","","одноклассника","ОДНОКЛАССНИК","S m anim acc sg","","","состояла из полтора _одноклассника_ , один из","а","к","и","н","с","с","S","ОДНОКЛАССНИК","S m anim acc sg","К"
"5137","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5138","","один","ОДИН","ANUM - nom sg plen m -","","","полтора одноклассника , _один_ из которых был","н","и","д","о","","","ANUM","ОДИН","A - nom sg plen m -","Н"
"5139","","из","ИЗ","PR","","","одноклассника , один _из_ которых был читером","з","и","","","","","PR","ИЗ","PR","З"
"5140","","которых","КОТОРЫЙ","APRO - gen pl plen - -","","",", один из _которых_ был читером ,","х","ы","р","о","т","о","APRO","КОТОРЫЙ","A - gen pl plen - -","Й"
"5141","","был","БЫТЬ","V ipf praet sg indic m -","","","один из которых _был_ читером , второй","л","ы","б","","","","V","БЫТЬ","V ipf praet sg indic m -","Ь"
"5142","","читером","ЧИТЕР","S m inan ins sg","","","из которых был _читером_ , второй -","м","о","р","е","т","и","S","ЧИТЕР","S m inan ins sg","Р"
"5143","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5144","","второй","ВТОРОЙ","ANUM - nom sg plen m -","","","был читером , _второй_ - девочкой ...","й","о","р","о","т","в","ANUM","ВТОРОЙ","A - nom sg plen m -","Й"
"5145","","-","-","PUNCT","","","","","","","","","","PUNCT","","",""
"5146","","девочкой","ДЕВОЧКА","S f anim ins sg","","",", второй - _девочкой_ ... хе-хе -","й","о","к","ч","о","в","S","ДЕВОЧКА","S m inan gen sg","А"
"5147","","...","...","PUNCT","","","","","","","","","","PUNCT","","",""
"5148","","хе-хе","ХЕ-ХЕ","INTJ","","","- девочкой ... _хе-хе_ - хе ...","е","х","-","е","х","","INTJ","ХЕ-ХЕ","INTJ","Е"
"5149","","-","-","PUNCT","","","","","","","","","","PUNCT","","",""
"5150","","хе","ХЕ","NONLEX","","","... хе-хе - _хе_ ... а третий","е","х","","","","","NONLEX","ХЕ","NONLEX","Е"
"5151","","...","...","PUNCT","","","","","","","","","","PUNCT","","",""
"5152","","а","А","CONJ","","","- хе ... _а_ третий был я","а","","","","","","CONJ","А","CONJ","А"
"5153","","третий","ТРЕТИЙ","ANUM - nom sg plen m -","","","хе ... а _третий_ был я ...","й","и","т","е","р","т","ANUM","ТРЕТИЙ","A - nom sg plen m -","Й"
"5154","","был","БЫТЬ","V ipf praet sg indic m -","","","... а третий _был_ я ... а","л","ы","б","","","","V","БЫТЬ","V ipf praet sg indic m -","Ь"
"5155","","я","Я","SPRO sg 1p - nom","","","а третий был _я_ ... а ?","я","","","","","","SPRO","Я","SPRO sg 1p - nom","Я"
"5156","","...","...","PUNCT","","","","","","","","","","PUNCT","","",""
"5157","","а","А","CONJ","","","был я ... _а_ ? что ?","а","","","","","","CONJ","А","CONJ","А"
"5158","","?","?","PUNCT","","","","","","","","","","PUNCT","","",""
"5159","","что","ЧТО","SPRO n inan nom sg","","","... а ? _что_ ?","о","т","ч","","","","SPRO","ЧТО","S n inan acc sg","О"
"5160","","?","?","PUNCT","","","","","","","","","","PUNCT","","",""
"5161","","","","","","","","","","","","","","","","",""
"5162","# sent = 489","","","","","","","","","","","","","","","",""
"5163","# speaker = B","","","","","","","","","","","","","","","",""
"5164","# sent = 490","","","","","","","","","","","","","","","",""
"5165","","Интересные","ИНТЕРЕСНЫЙ","A - nom pl plen - -","","","_Интересные_ у тебя категории","е","ы","н","с","е","р","A","ИНТЕРЕСНЫЙ","A - nom pl plen - -","Й"
"5166","","у","У","PR","","","Интересные _у_ тебя категории .","у","","","","","","PR","У","PR","У"
"5167","","тебя","ТЫ","SPRO sg 2p - acc","","","Интересные у _тебя_ категории .","я","б","е","т","","","SPRO","ТЫ","SPRO sg 2p - acc","Ы"
"5168","","категории","КАТЕГОРИЯ","S f inan nom pl","","","Интересные у тебя _категории_ .","и","и","р","о","г","е","S","КАТЕГОРИЯ","S f inan gen sg","Я"
"5169","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"5170","","","","","","","","","","","","","","","","",""
"5171","# sent = 491","","","","","","","","","","","","","","","",""
"5172","# speaker = A","","","","","","","","","","","","","","","",""
"5173","# sent = 492","","","","","","","","","","","","","","","",""
"5174","","Ха-ха","ХА-ХА","INTJ","","","_Ха-ха_ , да ...","а","х","-","а","х","","INTJ","ХА-ХА","INTJ","А"
"5175","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5176","","да","ДА","PART","","","Ха-ха , _да_ ... ну ,","а","д","","","","","PART","ДА","PART","А"
"5177","","...","...","PUNCT","","","","","","","","","","PUNCT","","",""
"5178","","ну","НУ","PART","","",", да ... _ну_ , я её","у","н","","","","","PART","НУ","PART","У"
"5179","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5180","","я","Я","SPRO sg 1p - nom","","","... ну , _я_ её затащил чисто","я","","","","","","SPRO","Я","SPRO sg 1p - nom","Я"
"5181","","её","ОНА","SPRO sg 3p f acc","","","ну , я _её_ затащил чисто по","ё","е","","","","","SPRO","ОНА","SPRO sg 3p f acc","А"
"5182","","затащил","ЗАТАЩИТЬ","V pf praet sg indic m -","","",", я её _затащил_ чисто по фану","л","и","щ","а","т","а","V","ЗАТАЩИТЬ","V pf praet sg indic m -","Ь"
"5183","","чисто","ЧИСТО","ADV -","","","я её затащил _чисто_ по фану ,","о","т","с","и","ч","","ADV","ЧИСТО","ADV -","О"
"5184","","по","ПО","PR","","","её затащил чисто _по_ фану , и","о","п","","","","","PR","ПО","PR","О"
"5185","","фану","ФАН","S m inan dat sg","","","затащил чисто по _фану_ , и она","у","н","а","ф","","","S","ФАН","S m anim dat sg","Н"
"5186","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5187","","и","И","CONJ","","","по фану , _и_ она , в","и","","","","","","CONJ","И","CONJ","И"
"5188","","она","ОНА","SPRO sg 3p f nom","","","фану , и _она_ , в итоге","а","н","о","","","","SPRO","ОНА","SPRO sg 3p f nom","А"
"5189","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5190","","в","В","PR","","","и она , _в_ итоге , на","в","","","","","","PR","В","PR","В"
"5191","","итоге","ИТОГ","S m inan loc sg","","","она , в _итоге_ , на самом","е","г","о","т","и","","S","ИТОГ","S m inan loc sg","Г"
"5192","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5193","","на","НА","PR","","","в итоге , _на_ самом деле ничего","а","н","","","","","PR","НА","PR","А"
"5194","","самом","САМЫЙ","A - loc sg plen n -","","","итоге , на _самом_ деле ничего не","м","о","м","а","с","","A","САМЫЙ","A - loc sg plen n -","Й"
"5195","","деле","ДЕЛО","S n inan loc sg","","",", на самом _деле_ ничего не решала","е","л","е","д","","","S","ДЕЛО","S n inan loc sg","О"
"5196","","ничего","НИЧТО","SPRO n inan gen sg","","","на самом деле _ничего_ не решала ,","о","г","е","ч","и","н","SPRO","НИЧТО","S n - gen sg","О"
"5197","","не","НЕ","PART","","","самом деле ничего _не_ решала , так что","е","н","","","","","PART","НЕ","PART","Е"
"5198","","решала","РЕШАТЬ","V ipf praet sg indic f -","","","деле ничего не _решала_ , так что ,","а","л","а","ш","е","р","V","РЕШАТЬ","V ipf praet sg indic f -","Ь"
"5199","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5200","","так что","так что","CONJ","","","не решала , _так что_ , ну ,","о","т","ч","","к","а","CONJ","так что","CONJ","о"
"5201","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5202","","ну","НУ","PART","","",", так что , _ну_ , то есть ,","у","н","","","","","PART","НУ","PART","У"
"5203","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5204","","то есть","то есть","CONJ","","",", ну , _то есть_ , особого смысла","ь","т","с","е","","о","CONJ","то есть","ADV -","ь"
"5205","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5206","","особого","ОСОБЫЙ","A - gen sg plen m -","","",", то есть , _особого_ смысла в ней","о","г","о","б","о","с","A","ОСОБЫЙ","A - gen sg plen m -","Й"
"5207","","смысла","СМЫСЛ","S m inan gen sg","","","то есть , особого _смысла_ в ней","а","л","с","ы","м","с","S","СМЫСЛ","S m inan gen sg","Л"
"5208","","в","В","PR","","",", особого смысла _в_ ней так","в","","","","","","PR","В","PR","В"
"5209","","ней","ОНА","SPRO sg 3p f loc","","","особого смысла в _ней_ так -","й","е","н","","","","SPRO","ОНА","SPRO sg 3p f loc","А"
"5210","<distinct form=""","","","","","","","","","","","","","","","",""
"5211","<dist>","так","","","","","","","","","","","","","","",""
"5212","<dist>","-","","","","","","","","","","","","","","",""
"5213","<dist>","так","","","","","","","","","","","","","","",""
"5214",""">","","","","","","","","","","","","","","","",""
"5215","","и","И","CONJ","","","- так _и_ так , и","и","","","","","","CONJ","И","CONJ","И"
"5216","","так","ТАК","ADV -","","","так и _так_ , и так","к","а","т","","","","ADV","ТАК","ADV -","К"
"5217","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5218","","и","И","CONJ","","","и так , _и_ так не","и","","","","","","CONJ","И","CONJ","И"
"5219","","так","ТАК","ADV -","","","так , и _так_ не было","к","а","т","","","","ADV","ТАК","ADV -","К"
"5220","</distinct>","","","","","","","","","","","","","","","",""
"5221","","не","НЕ","PART","","","и так _не_ было ... было","е","н","","","","","PART","НЕ","PART","Е"
"5222","","было","БЫТЬ","V ipf praet sg indic m -","","","так не _было_ ... было так","о","л","ы","б","","","V","БЫТЬ","V ipf praet sg indic n -","Ь"
"5223","","...","...","PUNCT","","","","","","","","","","PUNCT","","",""
"5224","","было","БЫТЬ","V ipf praet sg indic n -","","","не было ... _было_ так ...","о","л","ы","б","","","V","БЫТЬ","V ipf praet sg indic n -","Ь"
"5225","","так","ТАК","ADV -","","","было ... было _так_ ...","к","а","т","","","","ADV","ТАК","ADV -","К"
"5226","","...","...","PUNCT","","","","","","","","","","PUNCT","","",""
"5227","","","","","","","","","","","","","","","","",""
"5228","# sent = 493","","","","","","","","","","","","","","","",""
"5229","","Потом","ПОТОМ","ADV -","","","... _Потом_ появилась другая девочка","м","о","т","о","п","","ADV","ПОТОМ","ADV -","М"
"5230","","появилась","ПОЯВИТЬСЯ","V pf praet sg indic f -","","","Потом _появилась_ другая девочка ,","ь","с","а","л","и","в","V","ПОЯВИТЬСЯ","V pf praet sg indic f -","Я"
"5231","","другая","ДРУГОЙ","A - nom sg plen f -","","","Потом появилась _другая_ девочка , которая","я","а","г","у","р","д","A","ДРУГОЙ","A - nom sg plen f -","Й"
"5232","","девочка","ДЕВОЧКА","S f anim nom sg","","","Потом появилась другая _девочка_ , которая реально","а","к","ч","о","в","е","S","ДЕВОЧКА","S f anim nom sg","А"
"5233","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5234","","которая","КОТОРЫЙ","APRO - nom sg plen f -","","","другая девочка , _которая_ реально тащит ,","я","а","р","о","т","о","APRO","КОТОРЫЙ","A - nom sg plen f -","Й"
"5235","","реально","РЕАЛЬНО","ADV -","","","девочка , которая _реально_ тащит , но","о","н","ь","л","а","е","ADV","РЕАЛЬНО","ADV -","О"
"5236","","тащит","ТАЩИТЬ","V ipf praes sg indic - 3p","","",", которая реально _тащит_ , но это","т","и","щ","а","т","","V","ТАЩИТЬ","V ipf praes sg indic - 3p","Ь"
"5237","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5238","","но","НО","CONJ","","","реально тащит , _но_ это другая история","о","н","","","","","CONJ","НО","CONJ","О"
"5239","","это","ЭТО","SPRO n - nom sg","","","тащит , но _это_ другая история .","о","т","э","","","","SPRO","ЭТО","S n - nom sg","О"
"5240","","другая","ДРУГОЙ","A - nom sg plen f -","","",", но это _другая_ история .","я","а","г","у","р","д","A","ДРУГОЙ","A - nom sg plen f -","Й"
"5241","","история","ИСТОРИЯ","S f inan nom sg","","","но это другая _история_ .","я","и","р","о","т","с","S","ИСТОРИЯ","S f inan nom sg","Я"
"5242","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"5243","","","","","","","","","","","","","","","","",""
"5244","# sent = 494","","","","","","","","","","","","","","","",""
"5245","","Ну","НУ","PART","","",". _Ну_ как другая ?","у","н","","","","","PART","НУ","PART","У"
"5246","","как","КАК","CONJ","","","Ну _как_ другая ?","к","а","к","","","","CONJ","КАК","CONJ","К"
"5247","","другая","ДРУГОЙ","A - nom sg plen f -","","","Ну как _другая_ ?","я","а","г","у","р","д","A","ДРУГОЙ","A - nom sg plen f -","Й"
"5248","","?","?","PUNCT","","","","","","","","","","PUNCT","","",""
"5249","","","","","","","","","","","","","","","","",""
"5250","# sent = 495","","","","","","","","","","","","","","","",""
"5251","# speaker = B","","","","","","","","","","","","","","","",""
"5252","# sent = 496","","","","","","","","","","","","","","","",""
"5253","<noindex>[нрзб]</noindex>","","","","","","","","","","","","","","","",""
"5254","","в","В","PR","","","_в_ какой-то момент ты","в","","","","","","PR","В","PR","В"
"5255","","какой-то","КАКОЙ-ТО","APRO - acc sg plen m inan","","","в _какой-то_ момент ты даже","о","т","-","й","о","к","APRO","КАКОЙ-ТО","A - acc sg plen m inan","О"
"5256","","момент","МОМЕНТ","S m inan acc sg","","","в какой-то _момент_ ты даже куда-то","т","н","е","м","о","м","S","МОМЕНТ","S m inan acc sg","Т"
"5257","","ты","ТЫ","SPRO sg 2p - nom","","","в какой-то момент _ты_ даже куда-то поехал","ы","т","","","","","SPRO","ТЫ","SPRO sg 2p - nom","Ы"
"5258","","даже","ДАЖЕ","PART","","","какой-то момент ты _даже_ куда-то поехал ?","е","ж","а","д","","","PART","ДАЖЕ","PART","Е"
"5259","","куда-то","КУДА-ТО","ADV -","","","момент ты даже _куда-то_ поехал ?","о","т","-","а","д","у","ADV","КУДА-ТО","ADV -","О"
"5260","","поехал","ПОЕХАТЬ","V pf praet sg indic m -","","","ты даже куда-то _поехал_ ?","л","а","х","е","о","п","V","ПОЕХАТЬ","V pf praet sg indic m -","Ь"
"5261","","?","?","PUNCT","","","","","","","","","","PUNCT","","",""
"5262","","","","","","","","","","","","","","","","",""
"5263","# sent = 497","","","","","","","","","","","","","","","",""
"5264","# speaker = A","","","","","","","","","","","","","","","",""
"5265","# sent = 498","","","","","","","","","","","","","","","",""
"5266","","Да","ДА","PART","","","_Да_ , эм ...","а","д","","","","","PART","ДА","PART","А"
"5267","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5268","","эм","ЭМ","INTJ","","","Да , _эм_ ...","м","э","","","","","INTJ","ЭМ","INTJ","М"
"5269","","...","...","PUNCT","","","","","","","","","","PUNCT","","",""
"5270","","","","","","","","","","","","","","","","",""
"5271","# sent = 499","","","","","","","","","","","","","","","",""
"5272","","В","В","PR","","","... _В_ общем , там","в","","","","","","PR","В","PR","В"
"5273","","общем","ОБЩИЙ","A - loc sg plen m -","","","В _общем_ , там ...","м","е","щ","б","о","","A","ОБЩИЙ","A - loc sg plen m -","Й"
"5274","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5275","","там","ТАМ","ADV -","","","В общем , _там_ ... , эм","м","а","т","","","","ADV","ТАМ","ADV -","М"
"5276","","...","...","PUNCT","","","","","","","","","","PUNCT","","",""
"5277","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5278","","эм","ЭМ","INTJ","","","там ... , _эм_ , была ...","м","э","","","","","INTJ","ЭМ","INTJ","М"
"5279","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5280","","была","БЫТЬ","V ipf praet sg indic f -","","",", эм , _была_ ... одна ...","а","л","ы","б","","","V","БЫТЬ","V ipf praet sg indic f -","Ь"
"5281","","...","...","PUNCT","","","","","","","","","","PUNCT","","",""
"5282","","одна","ОДИН","ANUM - nom sg plen f -","","",", была ... _одна_ ... одно соревнование","а","н","д","о","","","ANUM","ОДИН","A - nom sg plen f -","Н"
"5283","","...","...","PUNCT","","","","","","","","","","PUNCT","","",""
"5284","","одно","ОДИН","ANUM - acc sg plen n inan","","","... одна ... _одно_ соревнование , эм","о","н","д","о","","","ANUM","ОДИН","A - acc sg plen n inan","Н"
"5285","","соревнование","СОРЕВНОВАНИЕ","S n inan nom sg","","","одна ... одно _соревнование_ , эм ,","е","и","н","а","в","о","S","СОРЕВНОВАНИЕ","S n inan acc sg","Е"
"5286","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5287","","эм","ЭМ","INTJ","","","одно соревнование , _эм_ , проводящееся в","м","э","","","","","INTJ","ЭМ","INTJ","М"
"5288","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5289","","проводящееся","ПРОВОДИТЬСЯ","PARTCP ipf inpraes nom sg plen n act -","","",", эм , _проводящееся_ в двух турах","я","с","е","е","щ","я","PARTCP","ПРОВОДИТЬСЯ","PARTCP ipf inpraes acc sg plen n act -","Я"
"5290","","в","В","PR","","","эм , проводящееся _в_ двух турах ;","в","","","","","","PR","В","PR","В"
"5291","","двух","ДВА","NUM loc - -","","",", проводящееся в _двух_ турах ;","х","у","в","д","","","NUM","ДВА","NUM loc - -","А"
"5292","","турах","ТУР","S m inan loc pl","","","проводящееся в двух _турах_ ;","х","а","р","у","т","","S","ТУР","S m inan loc pl","Р"
"5293","",";",";","PUNCT","","","","","","","","","","PUNCT","","",""
"5294","","","","","","","","","","","","","","","","",""
"5295","# sent = 500","","","","","","","","","","","","","","","",""
"5296","","первый","ПЕРВЫЙ","ANUM - nom sg plen m -","","","; _первый_ тур заочный ,","й","ы","в","р","е","п","A","ПЕРВЫЙ","A - nom sg plen m -","Й"
"5297","","тур","ТУР","S m inan acc sg","","","первый _тур_ заочный , мм","р","у","т","","","","S","ТУР","S m inan acc sg","Р"
"5298","","заочный","ЗАОЧНЫЙ","A - nom sg plen m inan","","","первый тур _заочный_ , мм ,","й","ы","н","ч","о","а","A","ЗАОЧНЫЙ","A - acc sg plen m inan","Й"
"5299","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5300","","мм","ММ","INTJ","","","тур заочный , _мм_ , то есть ты","м","м","","","","","INTJ","ММ","INTJ","М"
"5301","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5302","","то есть","то есть","CONJ","","",", мм , _то есть_ ты сидишь за","ь","т","с","е","","о","CONJ","то есть","ADV -","ь"
"5303","","ты","ТЫ","SPRO sg 2p - nom","","","мм , то есть _ты_ сидишь за компом","ы","т","","","","","SPRO","ТЫ","SPRO sg 2p - nom","Ы"
"5304","","сидишь","СИДЕТЬ","V ipf praes sg indic - 2p","","",", то есть ты _сидишь_ за компом ,","ь","ш","и","д","и","с","V","СИДЕТЬ","V ipf praes sg indic - 2p","Ь"
"5305","","за","ЗА","PR","","","то есть ты сидишь _за_ компом , недельку","а","з","","","","","PR","ЗА","PR","А"
"5306","","компом","КОМП","S m inan ins sg","","","ты сидишь за _компом_ , недельку ,","м","о","п","м","о","к","S","КОМП","S m inan ins sg","П"
"5307","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5308","","недельку","НЕДЕЛЬКА","S f inan acc sg","","","за компом , _недельку_ , или день","у","к","ь","л","е","д","S","НЕДЕЛЬКА","S f inan acc sg","А"
"5309","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5310","","или","ИЛИ","CONJ","","",", недельку , _или_ день , ээ","и","л","и","","","","CONJ","ИЛИ","CONJ","И"
"5311","","день","ДЕНЬ","S m inan acc sg","","","недельку , или _день_ , ээ ,","ь","н","е","д","","","S","ДЕНЬ","S m inan acc sg","Ь"
"5312","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5313","","ээ","ЭЭ","NONLEX","","","или день , _ээ_ , нонстопом сидишь","э","э","","","","","NONLEX","ЭЭ","NONLEX","Э"
"5314","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5315","","нонстопом","НОНСТОПОМ","ADV -","","",", ээ , _нонстопом_ сидишь , решаешь","м","о","п","о","т","с","ADV","НОНСТОПОМ","ADV -","М"
"5316","","сидишь","СИДЕТЬ","V ipf praes sg indic - 2p","","","ээ , нонстопом _сидишь_ , решаешь задачки","ь","ш","и","д","и","с","V","СИДЕТЬ","V ipf praes sg indic - 2p","Ь"
"5317","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5318","","решаешь","РЕШАТЬ","V ipf praes sg indic - 2p","","","нонстопом сидишь , _решаешь_ задачки , ээ","ь","ш","е","а","ш","е","V","РЕШАТЬ","V ipf praes sg indic - 2p","Ь"
"5319","","задачки","ЗАДАЧКА","S f inan acc pl","","","сидишь , решаешь _задачки_ , ээ ,","и","к","ч","а","д","а","S","ЗАДАЧКА","S f inan acc pl","А"
"5320","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5321","","ээ","ЭЭ","NONLEX","","","решаешь задачки , _ээ_ , материшься на","э","э","","","","","NONLEX","ЭЭ","NONLEX","Э"
"5322","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"5323","","материшься","МАТЕРИТЬСЯ","V ipf praes sg indic - 2p","","",", ээ , _материшься_ на создателей в","я","с","ь","ш","и","р","V","МАТЕРИТЬСЯ","V ipf praes sg indic - 2p","Я"
"5324","","на","НА","PR","","","ээ , материшься _на_ создателей в Телеграмме","а","н","","","","","PR","НА","PR","А"
"5325","","создателей","СОЗДАТЕЛЬ","S m anim acc pl","","",", материшься на _создателей_ в Телеграмме ,","й","е","л","е","т","а","S","СОЗДАТЕЛЬ","S m anim gen pl","Ь"
"5326","","в","В","PR","","","материшься на создателей _в_ Телеграмме , делаешь","в","","","","","","PR","В","PR","В"
"5327","","Телеграмме","ТЕЛЕГРАММ","S m inan loc sg","","","на создателей в _Телеграмме_ , делаешь мемчики","е","м","м","а","р","г","S","ТЕЛЕГРАММА","S f inan loc sg","М"
"5328","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
